t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,p13001,Nuclear,nuclear_r_fsu,r,fsu,1114.0,From ReEDS case Carbtax50
2020,p47001,Nuclear,nuclear_r_fsu,r,fsu,1122.0,From ReEDS case Carbtax50
2026,p13001,Nuclear,nuclear_r_fsu,r,fsu,1114.0,From ReEDS case Carbtax50
2035,p17007,Nuclear,nuclear_r_fsu,r,fsu,1617.053524,From ReEDS case Carbtax50
2035,p55003,Nuclear,nuclear_r_fsu,r,fsu,1883.002378,From ReEDS case Carbtax50
2038,p8001,Nuclear,nuclear_r_fsu,r,fsu,712.51498,From ReEDS case Carbtax50
2038,p13001,Nuclear,nuclear_r_fsu,r,fsu,1640.914439,From ReEDS case Carbtax50
2038,p19009,Nuclear,nuclear_r_fsu,r,fsu,253.334398,From ReEDS case Carbtax50
2038,p17007,Nuclear,nuclear_r_fsu,r,fsu,1870.486042,From ReEDS case Carbtax50
2038,p18001,Nuclear,nuclear_r_fsu,r,fsu,2068.209621,From ReEDS case Carbtax50
2038,p38001,Nuclear,nuclear_r_fsu,r,fsu,103.281374,From ReEDS case Carbtax50
2038,p32001,Nuclear,nuclear_r_fsu,r,fsu,1723.213341,From ReEDS case Carbtax50
2038,p36001,Nuclear,nuclear_r_fsu,r,fsu,1606.465457,From ReEDS case Carbtax50
2038,p47001,Nuclear,nuclear_r_fsu,r,fsu,523.434713,From ReEDS case Carbtax50
2038,p49001,Nuclear,nuclear_r_fsu,r,fsu,1110.737042,From ReEDS case Carbtax50
2038,p53007,Nuclear,nuclear_r_fsu,r,fsu,432.933958,From ReEDS case Carbtax50
2038,p55003,Nuclear,nuclear_r_fsu,r,fsu,1329.754896,From ReEDS case Carbtax50
2044,p4015,Nuclear,nuclear_r_fsu,r,fsu,218.589798,From ReEDS case Carbtax50
2044,p32001,Nuclear,nuclear_r_fsu,r,fsu,214.506367,From ReEDS case Carbtax50
2044,p36001,Nuclear,nuclear_r_fsu,r,fsu,1093.684104,From ReEDS case Carbtax50
2050,p1007,Nuclear,nuclear_r_fsu,r,fsu,284.655522,From ReEDS case Carbtax50
2047,p4015,Nuclear,nuclear_r_fsu,r,fsu,1131.64492,From ReEDS case Carbtax50
2050,p4015,Nuclear,nuclear_r_fsu,r,fsu,924.212834,From ReEDS case Carbtax50
2050,p10001,Nuclear,nuclear_r_fsu,r,fsu,469.805249,From ReEDS case Carbtax50
2047,p12005,Nuclear,nuclear_r_fsu,r,fsu,2128.080386,From ReEDS case Carbtax50
2050,p12005,Nuclear,nuclear_r_fsu,r,fsu,4126.167876,From ReEDS case Carbtax50
2050,p13001,Nuclear,nuclear_r_fsu,r,fsu,1040.629447,From ReEDS case Carbtax50
2047,p19009,Nuclear,nuclear_r_fsu,r,fsu,1.668054,From ReEDS case Carbtax50
2050,p19009,Nuclear,nuclear_r_fsu,r,fsu,590.293683,From ReEDS case Carbtax50
2047,p17007,Nuclear,nuclear_r_fsu,r,fsu,1959.478315,From ReEDS case Carbtax50
2050,p17007,Nuclear,nuclear_r_fsu,r,fsu,2.079992,From ReEDS case Carbtax50
2047,p38001,Nuclear,nuclear_r_fsu,r,fsu,330.369046,From ReEDS case Carbtax50
2050,p38001,Nuclear,nuclear_r_fsu,r,fsu,309.995844,From ReEDS case Carbtax50
2047,p32001,Nuclear,nuclear_r_fsu,r,fsu,827.75689,From ReEDS case Carbtax50
2050,p32001,Nuclear,nuclear_r_fsu,r,fsu,866.350771,From ReEDS case Carbtax50
2047,p36001,Nuclear,nuclear_r_fsu,r,fsu,1637.54448,From ReEDS case Carbtax50
2050,p36001,Nuclear,nuclear_r_fsu,r,fsu,1485.703941,From ReEDS case Carbtax50
2050,p47001,Nuclear,nuclear_r_fsu,r,fsu,602.544387,From ReEDS case Carbtax50
2050,p48037,Nuclear,nuclear_r_fsu,r,fsu,123.506722,From ReEDS case Carbtax50
2047,p49001,Nuclear,nuclear_r_fsu,r,fsu,234.855555,From ReEDS case Carbtax50
2050,p49001,Nuclear,nuclear_r_fsu,r,fsu,362.51662,From ReEDS case Carbtax50
2047,p51003,Nuclear,nuclear_r_fsu,r,fsu,7035.897869,From ReEDS case Carbtax50
2050,p51003,Nuclear,nuclear_r_fsu,r,fsu,1025.275138,From ReEDS case Carbtax50
2050,p55003,Nuclear,nuclear_r_fsu,r,fsu,994.586906,From ReEDS case Carbtax50
