t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,p13001,Nuclear,nuclear_r_fsu,r,fsu,1114.0,From ReEDS case solar_40
2020,p47001,Nuclear,nuclear_r_fsu,r,fsu,1122.0,From ReEDS case solar_40
2026,p13001,Nuclear,nuclear_r_fsu,r,fsu,1114.0,From ReEDS case solar_40
2032,p48001,Nuclear,nuclear_r_fsu,r,fsu,320.0,From ReEDS case solar_40
2035,p56003,Nuclear,nuclear_r_fsu,r,fsu,345.0,From ReEDS case solar_40
2035,p55003,Nuclear,nuclear_r_fsu,r,fsu,1564.329715,From ReEDS case solar_40
2038,p19009,Nuclear,nuclear_r_fsu,r,fsu,362.736658,From ReEDS case solar_40
2038,p16009,Nuclear,nuclear_r_fsu,r,fsu,1450.779406,From ReEDS case solar_40
2038,p17007,Nuclear,nuclear_r_fsu,r,fsu,1489.192644,From ReEDS case solar_40
2038,p32001,Nuclear,nuclear_r_fsu,r,fsu,796.758602,From ReEDS case solar_40
2038,p36001,Nuclear,nuclear_r_fsu,r,fsu,1685.18516,From ReEDS case solar_40
2038,p55003,Nuclear,nuclear_r_fsu,r,fsu,1082.924179,From ReEDS case solar_40
2047,p10001,Nuclear,nuclear_r_fsu,r,fsu,20.77291,From ReEDS case solar_40
2047,p36001,Nuclear,nuclear_r_fsu,r,fsu,253.350518,From ReEDS case solar_40
2050,p36001,Nuclear,nuclear_r_fsu,r,fsu,1770.588651,From ReEDS case solar_40
